,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
0,"'Elections 2025 are heating up! 🗳️🔥 Who's your pick for the leader who'll help shape our future? Let's talk policies, promises, and people power! Share your thoughts below! #Elections2025 #VoteForChange 🌍🤔' #Elections2025 #VoteForChange #FutureLeaders", elections 2025 are heating up who your pick for the leader who ll help shape our future let talk policies promises and people power share your thoughts below elections2025 voteforchange elections2025 voteforchange futureleaders,0.0,0.125,positive,0.0,0.8,0.2,0.7579,228,33
1,"LOOK: The COMELEC releases the official ballot template for the May 12, 2025 National, Local, and BARMM Parliamentary Elections for overseas absentee voters. 

The ballot lists 66 senatorial candidates and 155 party-list groups. @bncdotph #Elections2025 https://t.co/vbO1Dm6qm7",look the comelec releases the official ballot template for the may 12 2025 national local and barmm parliamentary elections for overseas absentee voters the ballot lists 66 senatorial candidates and 155 party list groups elections2025 ,0.0,0.0,positive,0.056,0.873,0.071,0.1531,235,35
2,"How Long Until the Elections? Check https://t.co/7HXiL5GArl!

A countdown timer on https://t.co/7HXiL5GArl shows exactly how many seconds remain until election day. Stay tuned and watch the countdown!

📢 #Elections2025 #Countdown #CenkFi",how long until the elections check countdown timer on shows exactly how many seconds remain until election day stay tuned and watch the countdown elections2025 countdown cenkfi,0.2333333333333333,0.3833333333333333,neutral,0.0,1.0,0.0,0.0,176,27
3,33 prospective candidates. 9 to go! #Elections2025 #PNM,33 prospective candidates 9 to go elections2025 pnm,0.0,0.0,neutral,0.0,1.0,0.0,0.0,51,8
4,"Heres my #BTC Long I took. Looking to sweep the 99k level. take 50% and let the rest ride.

Elections coming up, i think we might run befroe we dump.

#elections2025 #crypto https://t.co/2qm6wkVLkC",heres my btc long took looking to sweep the 99k level take 50 and let the rest ride elections coming up think we might run befroe we dump elections2025 crypto ,-0.05,0.4,negative,0.082,0.918,0.0,-0.3818,159,30
5,Germany accuses Musk of meddling in upcoming elections. Where else has he made his voice heard? 🤔 Read more: https://t.co/AD24nintem #MuskInterference #Elections2025 #automateyouraccount #freewithnectar,germany accuses musk of meddling in upcoming elections where else has he made his voice heard read more muskinterference elections2025 automateyouraccount freewithnectar,0.5,0.5,negative,0.103,0.897,0.0,-0.34,169,22
6,"🇷🇴 CLUJ MENTIONED!!! 🇷🇴

#Romania #Cluj #ClujNapoca #Georgescu #Elections2025 https://t.co/5QmSTZjsXN", cluj mentioned romania cluj clujnapoca georgescu elections2025 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,64,7
7,Elections 2025 are heating up! 🗳️🔥 Who's got your vote? Let's create a future we believe in together! 💪🌎 Drop your thoughts below. #Elections2025 #YourVoteYourVoice #Elections2025 #YourVoteYourVoice #BelieveInOurFuture,elections 2025 are heating up who got your vote let create future we believe in together drop your thoughts below elections2025 yourvoteyourvoice elections2025 yourvoteyourvoice believeinourfuture,0.0,0.125,neutral,0.077,0.846,0.077,0.0,196,25
8,"🇽🇰🇦🇱🇲🇰🇭🇷 Key elections across the Balkans in 2025 will shape the region’s future. Kosovo, Albania, North Macedonia, and Croatia prepare for decisive votes impacting stability and progress. 🗳️ #Balkans #Elections2025 #Democracy https://t.co/bsOGD4qnI6", key elections across the balkans in 2025 will shape the region future kosovo albania north macedonia and croatia prepare for decisive votes impacting stability and progress balkans elections2025 democracy ,0.0,0.5625,positive,0.0,0.852,0.148,0.5719,206,29
9,"JANUARY 6TH Is Coming...

Support Those Who Stood Up For Our #Constitutional #Rights In 2021.

https://t.co/VlHsNEbKfh

#StopTheSteal #Election #Elections #Election2020 #Election2024 #TrumpWon #Elections2025 #ConsentToBeGoverned #Vote #Voting #Voters #VoterRights #VotersRights",january 6th is coming support those who stood up for our constitutional rights in 2021 stopthesteal election elections election2020 election2024 trumpwon elections2025 consenttobegoverned vote voting voters voterrights votersrights,0.0,0.0,positive,0.0,0.909,0.091,0.4019,231,28
10,"@visegrad24 You forgot to mention, that in polls aking for chancelor directly ALICE WEIDEL is leading with 24% ahead of all other candidates.
See her on the X-space with Elon Musk instead!!!! 
Save the date Jan 9th
#AliceWeidel #Elon_Musk #elections2025", you forgot to mention that in polls aking for chancelor directly alice weidel is leading with 24 ahead of all other candidates see her on the space with elon musk instead save the date jan 9th aliceweidel elon musk elections2025,-0.012499999999999997,0.3875,positive,0.0,0.924,0.076,0.4939,229,40
11,"🚨 BIG PROMISE!

Congress pledges ₹3,000 monthly support for every woman in Delhi if voted to power! 💬

Will this bold move sway voters? 🗳️

Stay tuned for updates! 🔗

#DelhiElections #CongressPromise #WomenEmpowerment #Elections2025 #BreakingNews", big promise congress pledges 3 000 monthly support for every woman in delhi if voted to power will this bold move sway voters stay tuned for updates delhielections congresspromise womenempowerment elections2025 breakingnews,0.16666666666666666,0.3833333333333333,positive,0.0,0.778,0.222,0.7906,224,32
12,"""Mismanagement, misusing the taxpayers' money"": BJP slams AAP

Read @ANI Story | https://t.co/2Xhd7u94pe
#AAP #BJP #Delhi #Assembly #Elections2025 https://t.co/drsNFMbwWW", mismanagement misusing the taxpayers money bjp slams aap read story aap bjp delhi assembly elections2025 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,106,15
13,"Can @PierrePoilievre really deliver what he says or is it just a strong talking game ?
i sit down with @nbhardwaj59 and discuss this.

Full conversation here - https://t.co/tSHURFLLBw

#cdnpoli #PierrePoilievre #elections2025 https://t.co/HILyaNhMgX",can really deliver what he says or is it just strong talking game sit down with and discuss this full conversation here cdnpoli pierrepoilievre elections2025 ,0.08555555555555554,0.4344444444444445,positive,0.0,0.879,0.121,0.5106,158,25
14,@GSGB01 100% agree with @elonmusk. The #uk population needs an #Elections2025 and the population must get off their lazy arses and actually cast their #vote though. If you don’t make the effort your “opinion doesn’t matter”. #MakeItCount., 100 agree with the uk population needs an elections2025 and the population must get off their lazy arses and actually cast their vote though if you don make the effort your opinion doesn matter makeitcount ,-0.125,0.55,neutral,0.066,0.84,0.094,0.0258,207,35
15,"Random thoughts on #elections2025, #immigration, the #euro, #inflation targets, #JanetYellen, #CollegeFootball, #egg prices and other things to start the new year. https://t.co/XsqyvmJTD6",random thoughts on elections2025 immigration the euro inflation targets janetyellen collegefootball egg prices and other things to start the new year ,-0.16287878787878787,0.4431818181818182,neutral,0.0,1.0,0.0,0.0,150,21
16,"Well Done @SyyedSuhail 🎯🔝
@republic @Republic_Bharat 
#DelhiElection2025 #Yogiji #ModiKiGuarantee #BJP
#AAPdaAttack #elections2025
#BPSCStudentsProtest #Bihar https://t.co/PpLNkHc106",well done bharat delhielection2025 yogiji modikiguarantee bjp aapdaattack elections2025 bpscstudentsprotest bihar ,0.0,0.0,positive,0.0,0.826,0.174,0.2732,114,11
17,"We are rooting for you, @SpeakerJohnson 

#MAGA #elections2025 https://t.co/xDYFg2LDlg",we are rooting for you maga elections2025 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,42,7
18,"I got this feeling the Cameroon 2025 elections is going to have a lot of drama, especially for the Anglophones

#237x #237twitter #x #Cameroon #elections2025",i got this feeling the cameroon 2025 elections is going to have lot of drama especially for the anglophones 237x 237twitter cameroon elections2025,0.0,1.0,positive,0.0,0.933,0.067,0.128,146,23
19,"Inter District Coordination Meeting of DEO, North East Delhi, Sh. Ajay Kumar along with DCP (North East) with DM and DCPs of Ghaziabad regarding preparedness of General Legislative Elections 2025.

#elections2025
@CeodelhiOffice
@ECISVEEP https://t.co/WfU3pYLD1N",inter district coordination meeting of deo north east delhi sh ajay kumar along with dcp north east with dm and dcps of ghaziabad regarding preparedness of general legislative elections 2025 elections2025 ,0.05000000000000002,0.5,neutral,0.0,1.0,0.0,0.0,205,31
20,Excited for 2025? Here are 5 elections around the world that you won't want to miss! 🌍🗳️ Check out the full article for insights: https://t.co/32MhdoaSKK #Elections2025 #GlobalPolitics #tryfree #bhivenectar,excited for 2025 here are 5 elections around the world that you won want to miss check out the full article for insights elections2025 globalpolitics tryfree bhivenectar,0.3625,0.65,positive,0.052,0.71,0.239,0.7003,169,27
21,"Elections to Watch in 2025. Trump’s victory in the United States has raised the stakes for key global races, from Canada to Cameroon.

https://t.co/TtinFvnEPu

 #Elections2025 #GlobalPolitics #CanadaElections",elections to watch in 2025 trump victory in the united states has raised the stakes for key global races from canada to cameroon elections2025 globalpolitics canadaelections,0.0,0.5,positive,0.0,0.899,0.101,0.4215,173,26
22,"PM Narendra Modi Lashes Out At AAP Ahead Of Delhi Assembly Elections 2025, Likens It To ‘Aapda’

#PMNarendraModi #AAP #ArvindKejriwal #DelhiAssemblyElections2025 #Elections2025 #AamAadmiParty https://t.co/6cyth3FShN",pm narendra modi lashes out at aap ahead of delhi assembly elections 2025 likens it to aapda pmnarendramodi aap arvindkejriwal delhiassemblyelections2025 elections2025 aamaadmiparty ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,182,23
23,"Since 25 July 2024, I am predicting about coming elections results as per #Sufism &amp; Sufi circle, but today, I counter examined respective results as per Numerology.
Which party will win how many seats in coming #Elections2025 in #Pakistan?
#PTI #PMLN #PPP
https://t.co/umGu3ChWt5",since 25 july 2024 am predicting about coming elections results as per sufism amp sufi circle but today counter examined respective results as per numerology which party will win how many seats in coming elections2025 in pakistan pti pmln ppp ,0.43333333333333335,0.3333333333333333,positive,0.0,0.748,0.252,0.9253,243,40
24,"The notorious criminal organization known as the State of New Jersey needs to shake down its working class even more in 2025. Even parasites know when to stop before they kill their hosts. 

#NewJerseyDeservesBetter
#NJTollHikes 
#Elections2025 
#NewJersey https://t.co/ujywglu6yw",the notorious criminal organization known as the state of new jersey needs to shake down its working class even more in 2025 even parasites know when to stop before they kill their hosts newjerseydeservesbetter njtollhikes elections2025 newjersey ,0.020202020202020193,0.4483585858585859,negative,0.318,0.682,0.0,-0.9313,247,37
25,"World election calendar for 2025: Referendums and elections are held almost every week around the world: presidential, parliamentary, and local. Intent has traditionally collected information… https://t.co/xgZcJeXdw9 #Elections2025 #WorldElections #Vote #Democracy #Referendums https://t.co/iKbP5aCwjh",world election calendar for 2025 referendums and elections are held almost every week around the world presidential parliamentary and local intent has traditionally collected information elections2025 worldelections vote democracy referendums ,0.0,0.375,neutral,0.0,1.0,0.0,0.0,243,30
26,@NYPDnews @GovKathyHochul &amp; @NYCMayorsOffice have opened the @nycDSA sewers again. #Elections2025 #NYC #NYS ..just wait https://t.co/Ess9kTUe7j, amp have opened the sewers again elections2025 nyc nys just wait ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,66,11
27,"Although 2025 is not as election-packed as 2024—where countries comprising nearly half the world’s population headed to the polls—pivotal elections are set to take place across several countries.

More here: https://t.co/3UBBNAE3rM

#GSWNews #Elections2025 #Romania #Croatia… https://t.co/m1ciCfeexQ https://t.co/OiWlUwhSKl",although 2025 is not as election packed as 2024 where countries comprising nearly half the world population headed to the polls pivotal elections are set to take place across several countries more here gswnews elections2025 romania croatia ,0.20833333333333334,0.3666666666666667,neutral,0.0,1.0,0.0,0.0,241,37
28,"If you want to be part of the change, contact the office of @PierrePoilievre directly. Share your concerns and what truly matters to you. Complaining on social media might catch his attention, but a direct message is far more effective. #Elections2025 #Canada https://t.co/AsdRrDk1yP",if you want to be part of the change contact the office of directly share your concerns and what truly matters to you complaining on social media might catch his attention but direct message is far more effective elections2025 canada ,0.2388888888888889,0.5277777777777778,positive,0.031,0.743,0.226,0.7869,234,40
29,"https://t.co/sOHyzNbYC3
10 Things To Watch In 2025

#2025elections #elections2025 #DonaldTrump #JoeBiden #Politics #Top10", 10 things to watch in 2025 2025elections elections2025 donaldtrump joebiden politics top10,0.0,0.0,neutral,0.0,1.0,0.0,0.0,91,12
30,@idesibanda Are all these stances just to attract more votes in #Delhi #LokSabha #Elections2025????, are all these stances just to attract more votes in delhi loksabha elections2025 ,0.5,0.5,positive,0.0,0.828,0.172,0.3612,82,13
31,"As we usher in 2025, the world is gearing up for a series of elections that could reshape political landscapes across continents.

#Elections #Elections2025 #TheDailyIntake

https://t.co/PYWvykTkTh https://t.co/N3n8KSeoQG",as we usher in 2025 the world is gearing up for series of elections that could reshape political landscapes across continents elections elections2025 thedailyintake ,0.0,0.1,neutral,0.0,1.0,0.0,0.0,165,24
32,"New Year, New Resolution ✨
Register yourself in the electoral roll &amp; #GoVote
#Elections2025 #NewYear2025 #NewYear #ECI
@CEO_Maharashtra @deosolapur https://t.co/Zcs2F8VFkJ",new year new resolution register yourself in the electoral roll amp govote elections2025 newyear2025 newyear eci maharashtra ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,125,17
33,"New Year, New Resolution ✨

Register yourself in the electoral roll &amp; #GoVote

#Elections2025 #NewYear2025 #NewYear #ECI https://t.co/eEe25RMSge",new year new resolution register yourself in the electoral roll amp govote elections2025 newyear2025 newyear eci ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,113,16
34,LIVE: AAP Party PC | Delhi CM Atishi Press conference | BJP | Congress | Kejriwal | Election #SatyajayTimes #Faridabad #AAP #Atishi #DelhiCM #PressConference #BJP #Congress #Elections2025 #Kejriwal #Politics #BreakingNews #ElectionNews #PoliticalDebate https://t.co/hGfNQrK87r,live aap party pc delhi cm atishi press conference bjp congress kejriwal election satyajaytimes faridabad aap atishi delhicm pressconference bjp congress elections2025 kejriwal politics breakingnews electionnews politicaldebate ,0.13636363636363635,0.5,positive,0.0,0.906,0.094,0.4019,228,27
35,"Elections in 2025 List: From State Assembly Election in Delhi and Bihar to Local Body Polls, Know About Major Electoral Contests Happening This Year 

https://t.co/xwYOhJ9KiY

#DelhiAssemblyElection2025 #DelhiElection2025 #BiharElections #BMC #Elections2025",elections in 2025 list from state assembly election in delhi and bihar to local body polls know about major electoral contests happening this year delhiassemblyelection2025 delhielection2025 biharelections bmc elections2025,0.03125,0.25,neutral,0.0,1.0,0.0,0.0,223,29
36,"@aajtak It’s election season, and we get the need to appease those in power. But people expect news, not nonstop glorification of Modi Ji or the ruling party. No wonder the term “Godi Media” fits so well.

#Elections2025 #MediaBias #GodiMedia #JournalismMatters #Democracy #FreePress", it election season and we get the need to appease those in power but people expect news not nonstop glorification of modi ji or the ruling party no wonder the term godi media fits so well elections2025 mediabias godimedia journalismmatters democracy freepress,0.0,0.0,positive,0.116,0.715,0.168,0.4003,260,42
37,"Kosovo’s Supreme Court backs the Serbian List’s participation in February elections, rejecting LVV’s legal challenge. #Kosovo #Elections2025 https://t.co/SPbvWwsPjC",kosovo supreme court backs the serbian list participation in february elections rejecting lvv legal challenge kosovo elections2025 ,0.2,0.2,positive,0.186,0.531,0.283,0.296,131,17
38,"Turning 18 in 2025? 📷📷
Celebrate adulthood by making your first vote count! Start the year with the resolution to participate in the upcoming assembly elections.
Your Vote, Your Resolution.
#newyear #newvoter #ReadyToVote #YouthPower #Elections2025 #VoiceYourChoice https://t.co/JJGOeepk1m",turning 18 in 2025 celebrate adulthood by making your first vote count start the year with the resolution to participate in the upcoming assembly elections your vote your resolution newyear newvoter readytovote youthpower elections2025 voiceyourchoice ,0.25,0.3333333333333333,positive,0.0,0.902,0.098,0.5719,252,35
39,"#arvind_kejriwal, along with his wife Sunita, introduced the Pujari Granthi Samman Yojana, promising a monthly stipend of ₹18,000 for Hindu and Sikh priests, as Delhi gears up for the upcoming assembly elections.
#Delhi #Elections2025 🙏 https://t.co/bvkrRKYMA5", arvind kejriwal along with his wife sunita introduced the pujari granthi samman yojana promising monthly stipend of 18 000 for hindu and sikh priests as delhi gears up for the upcoming assembly elections delhi elections2025 ,0.2,0.5,positive,0.0,0.926,0.074,0.4019,225,35
40,"Turning 18 in 2025? 📷📷
Celebrate adulthood by making your first vote count! Start the year with the resolution to participate in the upcoming assembly elections.
Your Vote, Your Resolution.
#newyear #newvoter #ReadyToVote #YouthPower #Elections2025 #VoiceYourChoice https://t.co/OfmvtoFeFJ",turning 18 in 2025 celebrate adulthood by making your first vote count start the year with the resolution to participate in the upcoming assembly elections your vote your resolution newyear newvoter readytovote youthpower elections2025 voiceyourchoice ,0.25,0.3333333333333333,positive,0.0,0.902,0.098,0.5719,252,35
41,"The current political focus is on the #Delhi Assembly #elections and whether #BJP will win 50+ seats. 

but no is discussing about in #Kerala #WestBengal #Punjab and Jammu &amp; Kashmir the BJP is unlikely to win

In #TamilNadu BJP holds potential to win in the future
#Elections2025 https://t.co/H0VqSosSgk",the current political focus is on the delhi assembly elections and whether bjp will win 50 seats but no is discussing about in kerala westbengal punjab and jammu amp kashmir the bjp is unlikely to win in tamilnadu bjp holds potential to win in the future elections2025 ,0.23750000000000002,0.41562499999999997,positive,0.048,0.734,0.218,0.9001,269,47
42,"I've just signed this petition, Don't cancel local elections. Will you add your name and share too?
 https://t.co/AE5Onpvb9D via @38degrees 

#ReformUK #councilelections #labourout #elections2025

@reformparty_uk @JamesReform @EssexPR",i ve just signed this petition don cancel local elections will you add your name and share too via reformuk councilelections labourout elections2025 uk ,0.0,0.0,positive,0.079,0.833,0.087,0.0516,152,24
